,design,system design,development,analysis,concept design,knowledge engineering,processing,review,system integration,evaluation,product design,detailed,information search,product support,engine analysis,knowledge management,manufacturing,optimization,creation,check,reasoning,system specification,training,decision support,failure,acquisition,product data management,knowledge capture,link analysis,detailed design,inference,manufacture,knowledge interaction,navigation,semantic representation,information classification,data validation,knowledge based engineering,resource description,system identification,data storage,information sharing,knowledge classification,mission analysis,scheduling,access product design data,configuration management,certification,test report,data visualization,knowledge base building,feature processing,archive,preliminary design,solving,project planning,system synthesis,dissemination,knowledge storage,ontology modeling,flight test,express ontology,plm,failure management,ground test,disciplinary analysis,life cycle simulation,business process integration,knowledge exploration,design space visualization,product verification,general assembly,conceptual modelling,multidisciplinary modeling,problem solving,workflow management,knowledge discovery,ontological engineering,mdao,calculation report,customer service,automated reasoning,authoring,system arch,context inference,information clustering,flight test report,recycling,information push,tooling development,nation decision,manufacturing preparation,alm,share documents,analyzing,structural solver,generate fem model,crawling,summarizing,enterprise resource planning,mdo process formulation,design blueprint,physical sensing,semantic lexicon,airworthiness test,system architecting,design concepts formalization,convert file formats,digital mockup,issue tc pc ac certification,processe data,access,word,expert systems,api,product data management system,express application,share point,excel,google,matlab,protégé,data mining,catia,eclipse,reasoner,tr,java application,learning tools,file server,web server,outlook,workflow systems,wikipedia,solidworks,oracle,rce,optimus,modelcenter,python application,visualization package,cad programming interface,sas,sumo,tigl,brics,flops,aaa,isight,tixi,spss,openmdao,ceasiom,tornado,git,ideas,prado,cloud visualization,imagenet,triple store,ug,networkx,syndeia,jade,fortran application,oracle server,whatsopt,janus,multilinq,proteus,texttoonto,pykechain,semsearch,brics technology,saxon,fsms,cfview,vivisimo,solidedge,mopcssoviz,daedalus,kaon,davetools,pest,description,knowledge base,system definition,material,ontology,difficulty,knowledge graph,cad,section description,image,quantity,taxonomy,metadata,manufacturing method,video,cad representation,audio,measurement data,design parts,documents,business logic,animation,mind map,bom,forms,explicit geometry,word doc,object definitions,sysml model,process definitions,assemblies,freebase,capp,images,external web page,cfd simulation data,tooling parts,cfd code,lexical data,tools needed,babelnet,implicit geometry,live video,ikewiki,animations,sweetwiki,express,uml,python,aerospace ontology,sql,sysml,sparql,owl dl,vba,wordnet,nosql,cmdows,kadmos,postgresql,rds,bfo,openvsp,cypher,xquery,nasa taxonomy,codex,mdax,rvf,cco,vampzero,topic maps,fortan,dtad,multiwordnet,serql,addam,yawl,step,database,add,xml,owl,rdf,html,pdf,json,direct api,cpacs,ms word,iges,csv,vrml,soap,flash,ms excel,stl,dxf,jpeg,txt,mpeg,parasolid,acis,gif,igs,png,postscript,mov,jpg,dwf,flat file,jpgs,dwg,tiff,wmv,wav,wrp
context inference,9,9,9,8,9,9,8,8,7,9,6,5,9,7,8,8,6,5,9,7,8,6,8,6,3,7,4,7,6,3,9,5,8,5,6,7,4,3,5,7,4,5,7,4,2,2,3,2,7,4,4,7,6,2,2,2,4,4,4,3,3,4,1,2,4,1,3,5,2,2,2,1,1,1,2,2,3,2,0,2,2,3,3,2,9,2,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,9,8,7,4,4,8,4,3,1,1,2,3,1,2,4,1,3,4,1,0,2,2,2,1,0,0,0,0,0,2,0,1,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,9,9,8,6,8,7,7,3,7,8,7,5,6,4,6,1,6,4,3,2,3,2,3,2,2,1,2,0,0,0,2,1,0,1,1,0,2,0,1,0,2,0,1,1,0,1,9,4,0,3,2,1,6,3,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,9,9,7,5,7,7,6,6,0,3,0,2,1,1,2,0,1,1,1,1,2,1,3,0,1,3,2,0,1,2,2,1,0,1,1,1,1,1,1
information clustering,8,8,8,8,8,8,8,8,7,8,5,5,7,6,7,8,6,4,6,5,6,6,7,4,8,4,4,6,4,4,7,3,6,4,5,5,2,3,6,5,1,3,4,4,3,2,1,4,4,4,3,4,3,2,3,3,2,2,1,3,2,1,1,3,1,2,1,2,0,2,1,0,0,1,2,1,0,2,1,1,1,0,1,0,2,8,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,8,8,8,2,3,6,3,3,3,3,0,3,2,3,2,4,1,3,3,3,2,2,1,0,0,1,1,1,0,1,0,2,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,6,6,6,3,6,3,4,4,6,3,4,1,7,0,3,2,1,2,0,1,1,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,8,3,2,1,1,1,1,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,8,6,5,4,3,3,5,1,2,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
flight test report,7,7,7,7,5,5,6,7,6,7,5,3,7,5,5,6,4,4,6,3,3,4,5,4,6,5,4,4,4,2,4,2,5,3,3,2,4,2,2,5,2,2,4,4,1,2,3,3,7,2,0,3,4,2,2,5,3,1,1,0,7,0,1,6,5,0,2,1,0,1,2,0,0,0,1,0,0,0,0,2,1,0,0,0,2,2,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7,4,4,2,4,2,4,1,1,1,0,2,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,6,7,4,4,3,5,2,2,3,5,4,2,3,0,4,1,2,2,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,3,2,0,1,2,1,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,7,5,4,1,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
recycling,7,7,7,7,7,6,7,7,5,7,7,5,7,5,5,5,7,4,6,5,4,3,4,6,6,5,4,4,3,4,5,6,6,6,4,3,3,3,1,4,1,2,4,4,2,2,2,3,2,2,3,1,3,2,2,3,1,2,2,0,3,0,3,3,2,0,2,1,2,0,3,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,7,0,0,1,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,5,5,3,4,2,2,2,2,3,3,0,2,2,0,0,2,0,1,1,1,1,3,4,1,0,0,1,0,2,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,7,6,6,7,5,4,4,4,3,6,3,2,2,5,3,2,2,1,1,3,1,2,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,2,1,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,5,5,1,3,2,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
information push,6,6,6,6,6,6,5,5,5,5,5,5,6,5,6,6,4,5,5,5,4,4,4,4,5,4,4,4,5,3,4,4,4,3,4,3,5,4,4,4,3,5,3,2,3,3,4,3,4,4,2,4,3,2,3,1,4,2,2,4,2,4,2,3,4,1,4,4,1,4,3,3,1,2,2,1,2,1,0,2,2,1,1,1,2,1,1,0,6,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,5,6,4,2,3,6,4,2,1,3,1,1,2,0,0,1,2,2,3,1,2,2,1,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,6,6,5,3,4,5,4,3,5,4,5,3,1,2,4,3,3,3,3,2,4,2,1,1,0,1,2,2,0,2,0,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1,6,3,0,2,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,4,2,2,2,2,0,0,0,4,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
tooling development,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,6,6,5,6,5,6,3,6,5,5,5,6,5,6,3,3,2,4,6,5,5,6,4,5,4,3,3,5,4,2,2,1,3,5,1,3,3,0,1,2,4,4,1,2,4,1,2,4,2,6,2,0,4,3,3,5,1,2,1,1,0,1,3,3,1,0,2,0,0,0,1,6,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4,4,5,4,3,2,3,3,0,3,3,3,1,3,4,1,0,1,2,2,2,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,5,3,6,4,3,4,3,6,4,1,4,4,5,1,2,1,1,2,1,2,2,1,0,2,1,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,6,4,2,3,2,2,3,3,3,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4,4,3,1,2,1,3,0,1,2,2,2,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
nation decision,6,6,6,6,5,5,6,6,4,6,5,6,6,6,5,5,6,6,5,6,5,4,6,5,6,5,5,4,3,4,3,5,3,4,3,3,4,4,3,3,4,3,3,3,4,3,1,4,2,2,4,3,3,4,3,3,3,4,2,1,2,2,2,2,3,0,2,1,2,1,3,1,3,0,3,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,5,5,3,5,2,4,1,2,2,1,2,0,2,1,2,1,2,2,2,2,1,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,5,3,6,4,6,4,4,5,4,5,2,2,4,3,4,2,3,1,4,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,6,2,0,2,1,2,2,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,6,6,5,4,4,3,4,1,1,0,1,0,0,0,0,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
manufacturing preparation,5,5,5,5,5,5,4,4,5,5,5,5,4,5,3,5,5,4,3,5,4,4,4,3,3,3,4,3,3,5,2,5,4,2,3,5,4,4,3,3,2,2,5,3,3,2,4,2,2,2,3,1,1,2,1,2,1,0,1,2,0,2,1,1,1,1,2,3,1,0,2,2,0,0,0,2,1,1,1,1,2,2,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,5,1,4,3,1,3,0,2,1,1,1,0,1,1,2,2,2,2,2,2,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,3,3,5,3,4,2,4,2,1,5,3,3,1,1,2,2,1,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,1,1,2,1,0,1,1,3,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alm,5,5,5,5,5,5,5,5,4,5,5,5,4,5,3,3,5,4,3,4,3,3,5,3,4,5,3,5,2,3,3,4,4,3,2,3,2,2,2,2,2,2,3,2,3,1,1,3,1,2,3,2,3,2,2,1,1,3,2,0,2,1,3,1,1,0,1,1,2,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,4,3,3,2,1,1,1,1,2,1,0,1,2,0,1,1,1,1,1,1,1,1,3,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,4,4,5,3,4,3,4,3,2,3,0,3,5,2,2,2,2,1,3,0,2,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,3,1,3,2,2,0,0,1,2,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
share documents,4,4,4,4,4,4,3,3,3,3,3,3,4,2,3,4,3,3,3,3,3,2,1,3,1,3,3,4,4,2,4,3,0,1,2,3,2,3,2,2,0,4,3,0,2,1,2,2,0,1,2,1,1,1,2,0,1,1,0,3,1,3,1,0,1,1,1,2,1,0,1,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,3,3,3,1,1,1,2,0,1,0,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,3,3,3,2,2,2,1,1,1,2,3,2,2,1,4,2,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1,1,3,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,2,2,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
analyzing,4,4,4,4,4,2,4,3,2,4,3,3,3,3,3,2,3,3,3,3,3,1,4,1,3,3,3,3,1,3,3,2,3,3,2,0,2,2,1,2,1,1,0,2,2,1,1,2,0,2,1,1,1,3,2,0,0,2,1,1,3,0,2,2,1,1,1,1,1,0,2,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,3,2,3,1,2,2,4,0,0,1,2,1,0,0,1,1,0,1,1,2,1,1,0,0,1,0,1,0,2,0,0,0,1,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,2,3,2,2,2,3,2,2,3,2,2,0,1,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,1,1,1,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,4,4,2,1,2,2,2,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
structural solver,3,3,3,3,2,2,2,2,2,3,2,3,1,2,3,1,2,3,3,3,2,1,1,2,1,1,1,1,2,2,1,1,0,1,1,1,2,2,2,2,3,2,1,1,2,1,2,2,0,2,1,1,0,2,2,0,1,0,2,0,1,0,1,0,0,2,1,1,0,0,1,0,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,1,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,2,2,2,2,2,1,1,1,1,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,3,3,2,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generate fem model,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,2,2,1,2,2,2,3,2,2,0,2,3,2,3,1,3,1,1,3,2,1,2,1,2,2,2,1,2,2,3,1,1,0,1,1,2,1,1,1,0,1,0,1,0,2,1,1,2,0,1,0,0,2,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,0,2,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,2,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1,2,2,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crawling,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,2,1,1,1,2,2,2,2,3,3,3,2,2,1,1,3,1,1,2,3,2,1,1,2,2,3,1,3,2,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,2,3,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,3,2,3,3,1,1,3,1,1,0,0,2,3,2,2,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,3,3,2,3,3,3,2,3,3,2,2,2,0,2,1,1,0,2,3,1,0,0,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,3,1,1,1,2,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,2,3,2,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summarizing,3,3,2,1,3,2,2,2,3,2,3,3,1,3,1,2,2,3,0,3,1,1,2,2,1,0,2,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,2,0,2,2,0,0,2,1,2,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enterprise resource planning,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,0,1,2,1,2,1,1,1,2,2,0,1,2,2,0,1,0,2,1,0,0,0,1,1,0,1,1,0,1,2,1,1,1,1,1,0,0,1,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,1,1,0,1,1,0,2,1,0,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,1,1,1,2,0,2,1,2,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mdo process formulation,2,2,2,2,2,2,2,1,2,2,0,2,1,0,2,2,0,2,2,2,1,1,0,1,1,0,0,1,2,2,1,0,0,1,0,0,1,1,0,1,2,0,0,1,2,0,2,0,0,2,1,1,1,2,2,0,2,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,2,1,2,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
design blueprint,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1,1,2,0,2,1,1,0,2,1,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,2,1,0,1,0,1,0,1,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,1,2,2,2,2,1,2,1,0,2,1,2,1,1,1,2,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,1,1,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
physical sensing,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,0,2,1,0,2,2,2,1,2,2,1,1,0,2,1,2,2,1,0,1,0,2,1,2,1,1,2,0,1,1,1,2,1,1,0,1,1,0,1,0,1,0,2,1,0,1,1,0,1,0,2,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,1,0,2,1,2,2,1,1,2,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,2,2,2,1,2,2,0,1,2,1,2,1,0,1,0,0,1,1,1,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semantic lexicon,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,0,0,1,2,1,1,1,0,1,1,1,1,0,2,2,1,2,1,1,2,0,1,1,1,1,1,2,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,2,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,1,2,1,0,2,1,0,1,0,2,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
